id	name	year	country	genres	rating	voters	time	description	director	actors
317889	Однажды в Вегасе	2008	США	мелодрама;комедия	7.288	86770	99	После ночи кутежа в Городе Грехов двое совершенно незнакомых людей просыпаются в одной постели и пытаются восстановить ход событий вечера. Оказывается, они поженились и взяли огромный джек-пот. И вот на свежую голову молодожены (каждый сам про себя) разрабатывают план, как отделаться от своей «второй половины» и получить весь куш. Там, где замешаны деньги, нет места любви. Хотя в Вегасе случается всякое...	Том Вон	Кэмерон Диаз;Эштон Кутчер;Роб Кордри;Лэйк Белл;Джейсон Судейкис;Трит Уильямс;Дирдри О’Коннелл;Мишель Крусик;Деннис Фарина;Зак Галифианакис
461787	Брак по завещанию (сериал)	2009	Россия	мелодрама	7.072	1990	44	Иногда в жизни всё идёт не так, как хотелось бы... А иногда судьба преподносит неожиданные сюрпризы и предоставляет умопомрачительный шанс, который нельзя упускать!Английский миллионер Теренс Харпер оставил завещание, по которому Саше Козинцевой полагается получить 9 миллионов фунтов стерлингов! Но есть одно, весьма непростое условие... Но игра стоит свеч!...	Василий Сериков	Татьяна Арнтгольц;Александр Дьяченко;Валерий Жаков;Марина Куделинская;Наталья Лукеичева;Екатерина Мадалинская;Галина Петрова;Юлия Полынская;Нелли Пшенная;Александр Рапопорт
44041	Суета сует	1979	СССР	комедия	7.757	2057	87	Много лет работник ЗАГСа Марина Петровна регистрировала счастливые браки. Но однажды на пороге учреждения оказался не кто иной, как ее собственный муж.Увлекшись молодой женщиной, он решил изменить свою жизнь и уйти из семьи. Однако Марина Петровна своего согласия на развод не дала  и, как выяснилось, не зря...	Алла Сурикова	Галина Польских;Фрунзик Мкртчян;Леонид Куравлёв;Анна Варпаховская;Сергей Иванов;Сергей Бачурский;Борислав Брондуков;Людмила Иванова;Леонид Харитонов;Наталья Крачковская
2558	Стальные магнолии	1989	США	драма;мелодрама;комедия	7.610	2413	117	Удивительная история жизни шестерых женщин из маленького городка в штате Луизиана, которые пронесли свою трогательную дружбу сквозь годы. Они привыкли делиться друг с другом радостями и горестями, откровенными переживаниями и тайными надеждами.Красавица Шелби, самая сильная из них, убеждена, что на свете нет ничего невозможного, и своей уверенностью и остроумием поддерживает подруг на крутых виражах судьбы. Возможно, именно с ее помощью женщинам удастся подняться над суетой и скукой серого существования и совершить путешествие туда, где расцветают стальные магнолии.	Херберт Росс	Салли Филд;Ширли МакЛейн;Дэрил Ханна;Олимпия Дукакис;Джулия Робертс;Долли Партон;Том Скеррит;Сэм Шепард;Дилан МакДермотт;Кевин Дж. О’Коннор
750	Знакомство с родителями	2000	США	комедия	7.534	67680	108	Обладатель замечательной фамилии, санитар Грэг Трахер, отправляется за город, чтобы познакомиться с родителями своей девушки Пэм. Здесь Грэг собирается торжественно просить руки возлюбленной. Но, к несчастью, Грэг  парень невезучий, и любые благие начинания в его исполнении превращаются в сущий кошмар.Несчастный Трахер и в самом страшном сне не предполагал, какие его ждут испытания. Дело в том, что отец Пэм, Джек Бернс,  отставной сотрудник ЦРУ, устраивает приятелям дочери свою особую и жесткую проверку. Эта проверка включает в себя даже специальный тест на детекторе лжи!	Джей Роуч	Бен Стиллер;Роберт Де Ниро;Тери Поло;Блайт Даннер;Николь ДеХафф;Джон Абрахамс;Оуэн Уилсон;Джеймс Ребхорн;Том МакКарти;Филлис Джордж
77660	Незваные гости	2005	США	мелодрама;комедия	7.211	34662	119	История о бесшабашных приключениях двух заядлых холостяков: Джона и Джереми, которые изобрели потрясающий способ знакомства с девушками. Они придумывают себе «легенды», проникают на чужие свадьбы и получают удовольствие от бесплатной еды, шампанского и множества красивых женщин, которые готовы на все, чтобы найти себе мужа.Но лучшая часть плана  это вовремя исчезнуть под утро, дабы дама сердца не успела намекнуть на какие-либо обязательства. Только вся эта тактика умных бабников летит в тартарары, когда Джон неожиданно для самого себя влюбляется. Завоевать сердце любимой, значит пойти на крайний шаг: ворваться на свадьбу и украсть невесту...	Дэвид Добкин	Оуэн Уилсон;Винс Вон;Рэйчел МакАдамс;Кристофер Уокен;Айла Фишер;Джейн Сеймур;Брэдли Купер;Кейр О’Доннелл;Генри Гибсон;Рон Кэнада
5135	Отец невесты	1991	США	комедия	7.423	9762	105	Для дочери предстоящая свадьба  самое торжественное и волнующее событие в жизни. Для ее любящего отца  сумасшедший дом. Во-первых, он расстается со своим обожаемым ребенком. Во-вторых, с немалой суммой денег.В-третьих, ему приходится терпеть родственников со стороны жениха. От этого можно просто потерять рассудок. На свадьбе все были счастливы... кроме отца невесты.	Чарльз Шайер	Стив Мартин;Дайан Китон;Кимберли Уильямс-Пэйсли;Киран Калкин;Джордж Ньюберн;Мартин Шорт;Б.Д. Вонг;Питер Майкл Гец;Кейт Макгрегор-Стюарт;Кармен Хейуорд
42727	Одиноким предоставляется общежитие	1983	СССР	мелодрама;комедия	7.885	6163	89	В общежитие ткачих комендантом направляется бывший моряк. Он сразу же узнает, что душой вверенного ему коллектива является Вера Голубева, занимающаяся устройством личной жизни своих подруг. «Сваха» по призванию, она организовала нечто вроде бесплатного брачного агентства, собирая данные о потенциальных женихах со всей страны. Между Верой и новым комендантом отношения поначалу не складываются. Но потом он влюбляется в эту обаятельную и деятельную женщину. Однажды в свадебной машине будут и они с Верой...	Самсон Самсонов	Наталья Гундарева;Александр Михайлов;Тамара Сёмина;Фрунзик Мкртчян;Елена Драпеко;Виктор Павлов;Татьяна Божок;Елена Майорова;Вера Трофимова;Елена Скороходова
775727	Дикие истории	2014	Аргентина;Испания	триллер;драма;комедия	7.685	35599	122	Гэбриела Пастернака обижали многие, с кем сводила его жизнь  девушка, учитель музыки, профессор в консерватории, дантист. И вот все они, на свою беду, оказались вместе с ним в одном самолете... Ночью в придорожной закусочной официантка узнает в посетителе ростовщика, который много лет назад довел до самоубийства ее отца. А у поварихи, в прошлом отсидевшей срок, для мести такому гаду сразу нашлось средство  крысиный яд... Городской красавчик ехал на своей мощной Audi по пустынной дороге и решил обогнать старый Peugeot, но сидевший за рулем провинциальный упырь решил не уступать. И вот уже кровавый итог бессмысленного соперничества не за горами...	Дамиан Сифрон	Рикардо Дарин;Оскар Мартинес;Леонардо Сбараглиа;Эрика Ривас;Рита Кортесе;Хульета Сильберберг;Дарио Грандинетти;Мария Онетто;Нэнси Дуплаа;Осмар Нуньес
532967	Свадьба по обмену	2010	Россия	мелодрама;комедия	5.914	11754	90	Супермодель Соня мечтает о тихом семейном счастье с давним бойфрендом Русланом  самовлюблённым ведущим популярного кулинарного шоу. Но тот не разделяет её мечты, он грезит только о славе и повышении собственного рейтинга, поэтому делает Соне предложение руки и сердца в присутствии толпы репортеров.В отместку, Соня решает выйти замуж за обычного банковского клерка Сашу. Тот соглашается и тоже назло любимой девушке, Кристине. Уже выйдя из загса, Саша и Соня понимают, что погорячились. Но делать нечего, теперь им приходится изображать перед всеми счастливую влюбленную пару, скрывая взаимную ненависть.Однако от ненависти до любви...	Дмитрий Грачев	Екатерина Вилкова;Максим Матвеев;Фёдор Бондарчук;Ксения Каталымова;Мария Кожевникова;Арарат Кещян;Андрей Малахов;Дарья Субботина;Александр Самойленко;Александр Тодчук
280532	27 свадеб	2008	США	мелодрама;комедия	6.936	31116	106	Побывав в качестве подружки невесты на 27 свадьбах, главная героиня вдруг понимает, что пора бы остановиться и задуматься уже и о собственном замужестве, но напоследок отгулять свадьбу своей сестры. Однако, выясняется, что та собралась замуж за человека, на которого «профессиональная свидетельница» как раз только успела положить глаз. Назревает конфликт...	Энн Флетчер	Кэтрин Хайгл;Джеймс Марсден;Эдвард Бёрнс;Малин Акерман;Джуди Грир;Брайан Кервин;Чарли Барсена;Пейтон Лист;Джейн Фитщ;Дженнифер Лим
6151	Четыре свадьбы и одни похороны	1993	Великобритания	драма;мелодрама;комедия	7.123	12246	117	Чарльз, 32-летний англичанин-интеллектуал, очень напрягается каждый раз, когда на горизонте вырисовывается перспектива женитьбы. Однажды, на очередной свадебной церемонии своего друга, он знакомится с очаровательной американкой Кэрри, и тут его оборонительная стратегия дает роковую трещину.	Майк Ньюэлл	Энди МакДауэлл;Хью Грант;Джеймс Флит;Саймон Кэллоу;Джон Ханна;Кристин Скотт Томас;Дэвид Бауэр;Шарлотта Коулман;Тимоти Уолкер;Сара Кроу
4300	Американский пирог 3: Свадьба	2003	США;Германия	мелодрама;комедия	7.061	37831	99	Джим и Мишель решили пожениться! Ведь свадьба  штука важная, и готовиться к ней надо основательно и серьёзно, тем более, если шафером у жениха собирается стать сам Стифлер! В обширную предсвадебную программу включены: холостяцкая вечеринка со стриптизёршами; соблазнение женщин преклонного возраста в кромешной тьме; украшение свадебного торта лобковыми волосами; очередное сексуальное родео Финча с мамашей Стифлера, как, впрочем, и сам Стифлер  новоявленная гей-икона, прирождённый танцор-диско, тестостероновый титан и главная звезда торжества! Джим и Мишель приглашают Вас на свою свадьбу, скучать на которой Вам точно не придётся!	Джесси Дилан	Джейсон Биггз;Шонн Уильям Скотт;Элисон Хэннигэн;Эдди Кэй Томас;Томас Иэн Николас;Дженьюэри Джонс;Юджин Леви;Молли Чик;Дебора Раш;Фред Уиллард
2768	Свадьба лучшего друга	1997	США	мелодрама;комедия	7.306	26407	105	9 лет назад Джулианна Поттер и Майкл О`Нил заключили соглашение: если до 28 лет они не влюбятся, то поженятся между собой. Лучшие друзья еще со студенческих времен, они почти позабыли о своем юношеском договоре. И теперь, в 28 лет, Майкл снова поднял вопрос о свадьбе, но... уже с другой. Джулианна никогда не знала, что же ей действительно нужно, пока не почувствовала, что это «что-то» уходит из ее жизни.И теперь у нее есть только четыре дня и собственная смекалка, чтобы вернуть Майкла себе.	П.Дж. Хоган	Джулия Робертс;Дермот Малруни;Кэмерон Диаз;Руперт Эверетт;Филип Боско;М. Эммет Уолш;Рэйчел Гриффитс;Кэрри Престон;Сьюзэн Салливан;Кристофер Мастерсон
4544	Сабрина	1995	Германия;США	драма;комедия	7.469	6412	127	В семье Лэраби предстоит важное событие  свадьба младшего брата. Приданное невесты позволит братьям стать монополистами на рынке коммуникаций. Но все эти планы рушатся, когда из Парижа возвращается красавица Сабрина  дочь шофера семьи, ставшая супермоделью.	Сидни Поллак	Харрисон Форд;Джулия Ормонд;Грег Киннер;Нэнси Марчанд;Джон Вуд;Фанни Ардан;Ричард Кренна;Энджи Дикинсон;Лорен Холли;Дэна Айви
62652	Непохищенная невеста	1995	Индия	мюзикл;драма;мелодрама;комедия	8.448	2982	181	Двадцать лет тому назад Балдев Синг эмигрирует в Англию и оседает в Лондоне вместе с семьёй. Но даже после столь продолжительного проживания на чужбине он сохраняет приверженность национальным традициям и планирует выдать замуж старшую дочь Симран за сына старого друга, живущего в Пенджабе. Незадолго перед помолвкой Симран знакомится с весельчаком и балагуром Раджом.Симран очень симпатичен Радж, но она далеко не сразу осознаёт, что под маской беззаботности скрывается преданная и любящая её душа. Когда молодые люди наконец-то понимают, что любят друг друга, уже поздно, приготовления к помолвке невозможно остановить. Единственная возможность избежать непоправимого  бежать, но Радж убежден, что им в жизни не будет счастья без благословения родителей Симран...	Адитья Чопра	Шах Рукх Кхан;Каджол;Амриш Пури;Фарида Джалал;Анупам Кхер;Сатиш Шах;Ачала Сачдев;Химани Шивпури;Пуджа Рупарел;Дамьянти Пури
401775	Люблю тебя, чувак	2009	США	мелодрама;комедия	7.016	28982	105	Успешный риэлтор Питер Клэйвен наконец-то сделал предложение женщине своей мечты и тут же столкнулся с неожиданной проблемой. У него нет лучшего друга, которому можно поручить важную миссию шафера на свадьбе. После череды специфических свиданий Питер наконец-то нашёл подходящего человека, полную себе противоположность, Сиднея. Да вот только благодаря новому другу Питер понял, что жил не правильно и по-настоящему не умел веселиться... и, похоже, передумал жениться.	Джон Гамбург	Пол Радд;Джейсон Сигел;Рашида Джонс;Энди Сэмберг;Дж.К. Симмонс;Джейн Куртин;Джон Фавро;Джейми Прессли;Азиз Ансари;Лу Ферриньо
